Rank,University,URL,Country,Number of FTE Students,Number of Students per staff,International Students,Female Male Ratio,Year
181,Scuola Normale Superioredi Pisa,https://www.timeshighereducation.com/world-university-rankings/scuola-normale-superiore-di-pisa,Italy,557,6.7,0.11,29 : 71,2021
182,Autonomous University of Barcelona,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-barcelona,Spain,31284,12.5,0.17,59 : 41,2021
183,Stockholm University,https://www.timeshighereducation.com/world-university-rankings/stockholm-university,Sweden,27200,19.1,0.1,n/a,2021
184,Arizona State University (Tempe),https://www.timeshighereducation.com/world-university-rankings/arizona-state-university-tempe,United States,45827,19.7,0.2,43 : 57,2021
184,University of Canberra,https://www.timeshighereducation.com/world-university-rankings/university-canberra,Australia,10304,37.4,0.35,n/a,2021
186,Queensland University of Technology,https://www.timeshighereducation.com/world-university-rankings/queensland-university-technology,Australia,35555,42,0.17,53 : 47,2021
187,Eindhoven University of Technology,https://www.timeshighereducation.com/world-university-rankings/eindhoven-university-technology,Netherlands,9469,21.3,0.23,n/a,2021
187,George Washington University,https://www.timeshighereducation.com/world-university-rankings/george-washington-university,United States,23788,13.4,0.17,60 : 40,2021
187,Technical University of Denmark,https://www.timeshighereducation.com/world-university-rankings/technical-university-denmark,Denmark,9412,6.7,0.25,31 : 69,2021
187,Yonsei University (Seoul campus),https://www.timeshighereducation.com/world-university-rankings/yonsei-university-seoul-campus,South Korea,17745,14.7,0.22,48 : 52,2021
191,Cardiff University,https://www.timeshighereducation.com/world-university-rankings/cardiff-university,United Kingdom,25898,14.1,0.28,59 : 41,2021
191,University of Gothenburg,https://www.timeshighereducation.com/world-university-rankings/university-gothenburg,Sweden,19616,9.8,0.13,n/a,2021
191,University of Lausanne,https://www.timeshighereducation.com/world-university-rankings/university-lausanne,Switzerland,12685,8.8,0.24,n/a,2021
191,Tel Aviv University,https://www.timeshighereducation.com/world-university-rankings/tel-aviv-university,Israel,22635,22.3,0.07,56 : 44,2021
195,Macquarie University,https://www.timeshighereducation.com/world-university-rankings/macquarie-university,Australia,29835,65.5,0.29,53 : 47,2021
195,University of Münster,https://www.timeshighereducation.com/world-university-rankings/university-munster,Germany,44580,42.9,0.08,n/a,2021
197,Texas A&M University,https://www.timeshighereducation.com/world-university-rankings/texas-am-university,United States,62070,24.4,0.08,47 : 53,2021
198,University of Barcelona,https://www.timeshighereducation.com/world-university-rankings/university-barcelona,Spain,45494,15,0.11,62 : 38,2021
